Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Ladell Betts,WAS,25,RB,16,1,90,371,1,20,27,4.1,23.2,0
Quentin Griffin,DEN,23,RB,6,4,85,311,2,14,47,3.7,51.8,3
Tyrone Wheatley,OAK,32,RB,8,7,85,327,4,25,60,3.8,40.9,0
Jonathan Wells,HOU,25,RB,16,1,82,299,3,17,14,3.6,18.7,1
Tatum Bell,DEN,23,RB,14,0,75,396,3,20,29,5.3,28.3,1
Najeh Davenport,GNB,25,RB,11,1,71,359,2,16,40,5.1,32.6,1
Michael Bennett,MIN,26,RB,11,7,70,276,1,14,25,3.9,25.1,1
Brad Hoover,CAR,28,FB,14,9,68,246,0,14,16,3.6,17.6,0
Mike Alstott,TAM,31,FB,14,11,67,230,2,20,32,3.4,16.4,2
Jesse Chatman,SDG,25,RB,15,0,65,392,3,19,52,6.0,26.1,1
Tony Fisher,GNB,25,RB,16,0,65,224,0,16,24,3.4,14.0,1
Mewelde Moore,MIN,22,RB,10,3,65,379,0,17,33,5.8,37.9,0
Troy Hambrick,ARI,28,RB,10,0,63,283,1,12,62,4.5,28.3,0
Greg Jones,JAX,23,RB,16,3,62,162,3,14,12,2.6,10.1,1
DeShaun Foster,CAR,24,RB,4,3,59,255,2,13,71,4.3,63.8,0
Aaron Stecker,NOR,29,RB,16,3,58,244,2,11,42,4.2,15.3,1
Richie Anderson,DAL,33,FB,12,4,57,246,1,12,27,4.3,20.5,1
Artose Pinner,DET,26,RB,9,2,57,174,2,11,14,3.1,19.3,0
Verron Haynes,PIT,25,RB,13,0,55,272,0,17,18,4.9,20.9,0
Kevin Faulk,NWE,28,RB,11,1,54,255,2,14,20,4.7,23.2,2
Dominic Rhodes,IND,25,RB,16,0,53,254,1,16,55,4.8,15.9,2
Ron Dayne,NYG,26,RB,14,2,52,179,1,10,15,3.4,12.8,0
LaBrandon Toefield,JAX,24,RB,14,0,51,169,0,7,16,3.3,12.1,1
Shawn Bryson,DET,28,RB,16,1,50,264,0,15,28,5.3,16.5,1
Zack Crockett,OAK,32,FB,16,9,48,232,2,12,47,4.8,14.5,0
Leonard Henry,MIA,26,RB,6,2,46,141,0,5,53,3.1,23.5,1
Shaud Williams,BUF,24,RB,4,0,42,167,2,9,27,4.0,41.8,1
Patrick Pass,NWE,27,FB,14,4,39,141,0,8,19,3.6,10.1,1
Mack Strong,SEA,33,FB,16,13,36,131,0,13,11,3.6,8.2,2
Justin Fargas,OAK,24,FB,12,0,35,126,1,9,15,3.6,10.5,1
Lamar Gordon,MIA,24,RB,3,2,35,64,0,3,11,1.8,21.3,1
Willie Parker,PIT,24,RB,8,0,32,186,0,9,58,5.8,23.3,0
Obafemi Ayanbadejo,ARI,29,FB,16,5,30,122,3,9,23,4.1,7.6,1
